Dutch sentence	Translation
Ik ga naar school.	I go to school.
Ik werk elke dag.	I work every day.
Jullie komen met de fiets naar school.	You come to school by bike.
De kinderen fietsen naar school.	The children cycle to school.
Zij fietsen in het park.	They cycle in the park.
De kinderen gaan naar school met de fiets.	The children go to school by bike.
De kinderen reizen met de fiets.	The children travel by bike.
Zij gaan met de fiets naar de markt.	They cycle to the market.
De cursisten zijn in de klas.	The students are in the classroom.
De cursisten luisteren naar de leerkracht.	The students listen to the teacher.
De cursisten leren in de klas.	The students are learning in the classroom.
De kinderen luisteren naar de leerkracht.	The children listen to the teacher.
De kinderen kijken naar de leerkracht.	The children are watching the teacher.
De kinderen leren Nederlands.	The children are learning Dutch.
De cursisten werken in de klas.	The students are working in the classroom.
Zij leren Nederlands.	They are learning Dutch.
Ze/zij leest het boek.	She/he is reading the book.
Het meisje leest het boek in haar bed.	The girl is reading the book in her bed.
Mijn dochter leest een boek in bed.	My daughter is reading a book in bed.
Zij schrijft in het boek.	She is writing in the book.
Anna schrijft een brief.	Anna is writing a letter.
